analysis,bootstrap_unit,domain,method,condition,metric,n_boot,n,mean,median,ci95_lo,ci95_hi,n_parent_events
PRIMARY_ROADMAP,scenario×seed×experiment_condition,congestion,AI_BEWARN,load_level=0.6,p95_latency_ms,10000.0,1338.0,269.0316969534724,263.37945194883696,267.3190453598038,270.7670315025845,
PRIMARY_ROADMAP,scenario×seed×experiment_condition,congestion,AI_BEWARN,load_level=0.6,constraint_violation,10000.0,1350.0,0.2607407407407407,0.0,0.23703703703703705,0.28444444444444444,
PRIMARY_ROADMAP,scenario×seed×experiment_condition,congestion,AI_BEWARN,load_level=0.6,overhead_proxy,10000.0,1350.0,0.7196296296296296,0.5,0.7066666666666667,0.7329629629629629,
PRIMARY_ROADMAP,scenario×seed×experiment_condition,congestion,AI_BEWARN,load_level=0.8,risk_delivery,10000.0,1350.0,0.8308331384911158,0.9016122721034169,0.8188672809540779,0.8423721751819662,
PRIMARY_ROADMAP,scenario×seed×experiment_condition,congestion,AI_BEWARN,load_level=0.8,p95_latency_ms,10000.0,1338.0,317.2330937184315,312.0693744297154,315.4003083514,319.0913331766087,
PRIMARY_ROADMAP,scenario×seed×experiment_condition,congestion,AI_BEWARN,load_level=0.8,constraint_violation,10000.0,1350.0,0.2866666666666667,0.0,0.26222222222222225,0.3111111111111111,
PRIMARY_ROADMAP,scenario×seed×experiment_condition,congestion,AI_BEWARN,load_level=0.8,overhead_proxy,10000.0,1350.0,0.7218518518518519,0.5,0.7085185185185185,0.7351851851851852,
PRIMARY_ROADMAP,scenario×seed×experiment_condition,congestion,AI_BEWARN,load_level=0.95,risk_delivery,10000.0,1350.0,0.8239960862433684,0.9018188551111079,0.811614137602747,0.8357805280833341,
PRIMARY_ROADMAP,scenario×seed×experiment_condition,congestion,AI_BEWARN,load_level=0.95,p95_latency_ms,10000.0,1337.0,353.961071534173,349.43246044630763,351.96445149042074,355.9655553466005,
PRIMARY_ROADMAP,scenario×seed×experiment_condition,congestion,AI_BEWARN,load_level=0.95,constraint_violation,10000.0,1350.0,0.2948148148148148,0.0,0.27037037037037037,0.32,
PRIMARY_ROADMAP,scenario×seed×experiment_condition,congestion,AI_BEWARN,load_level=0.95,overhead_proxy,10000.0,1350.0,0.7251851851851852,0.5,0.7122222222222222,0.7385185185185185,
CLUSTER_ROBUSTNESS,parent_event_id,BEST_AI_BEWARN_geo,,,population_recall,,,0.9829823997711958,0.9825493646473138,0.9756067270241796,0.9903175577209776,10.0
CLUSTER_ROBUSTNESS,parent_event_id,BEST_AI_BEWARN_geo,,,missed_population,,,66609.28904134096,48429.58184416119,26724.00353724787,119205.33386942986,10.0
CLUSTER_ROBUSTNESS,parent_event_id,BEST_AI_BEWARN_geo,,,overalert_population,,,299202.12688523857,132816.71946820038,83991.83254172227,578514.7599236284,10.0
CLUSTER_ROBUSTNESS,parent_event_id,BEST_AI_BEWARN_geo,,,normalized_optimization_gap,,,914.5888451452772,0.0370175338643212,0.0312075831471232,2743.664641197344,10.0
CLUSTER_ROBUSTNESS,parent_event_id,BEST_AI_BEWARN_geo,,,constraint_violation,,,0.0,0.0,0.0,0.0,10.0
CLUSTER_ROBUSTNESS,parent_event_id,AI_BEWARN_scheduler,,,observed_reliability,,,0.8307947921843472,0.830649030246382,0.8136966340240456,0.8482108030793932,10.0
CLUSTER_ROBUSTNESS,parent_event_id,AI_BEWARN_scheduler,,,observed_latency_ms,,,539.3255018484144,551.8353571248344,491.6893209663438,584.7553963161108,10.0
CLUSTER_ROBUSTNESS,parent_event_id,AI_BEWARN_scheduler,,,observed_constraint_violation,,,0.2421515896247869,0.2661458333333333,0.207201838731444,0.2740515102239244,10.0
CLUSTER_ROBUSTNESS,parent_event_id,AI_BEWARN_scheduler,,,bearer_count,,,1.52946232314547,1.471288430420712,1.4312093793802607,1.6362213681714564,10.0
CLUSTER_ROBUSTNESS,parent_event_id,AI_BEWARN_scheduler,,,overhead_proxy,,,0.764731161572735,0.735644215210356,0.7136738944979121,0.8193191549772334,10.0
